,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
1731,2015.0,Unprovoked,Boogie boarding,F,Child,N,Noon,Other,33.6874388,-80.4363743
1732,2015.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
1733,2015.0,Unprovoked,Surfing,M,Teenager,N,Noon,4' shark,33.6874388,-80.4363743
1734,2015.0,Unprovoked,Other,M,Teenager,N,Noon,White shark,-33.546977,20.72753
1735,2015.0,Unprovoked,Spearfishing,M,Senior,N,Other,Bull shark,27.7567667,-81.4639835
1736,2015.0,Watercraft,Fishing,M,Others,N,Other,White shark,27.7567667,-81.4639835
1737,2014.0,Provoked,Fishing,M,Young Adult,N,Other,Other,39.5162401,-76.9382069
1738,2014.0,Unprovoked,Standing,M,Child,N,Other,Other,27.7567667,-81.4639835
1739,2012.0,Unprovoked,Paddle boarding,M,Young Adult,N,Morning,Other,-31.8759835,147.2869493
1740,2012.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Evening,Bull shark,-21.1677694,55.2881932
1742,2012.0,Unprovoked,Body boarding,M,Young Adult,N,Noon,Other,-21.0810433,55.602812666582295
1743,2011.0,Unprovoked,Surfing,F,Others,N,Morning,Other,43.9792797,-120.737257
1744,2011.0,Unprovoked,Other,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
1745,2011.0,Unprovoked,Spearfishing,M,Young Adult,Y,Other,Other,-28.503833,30.8875009
1747,2010.0,Unprovoked,Fishing,M,Middle-aged Adult,N,Other,Other,-22.535181,-44.0689639
1748,2010.0,Provoked,Snorkeling,M,Young Adult,N,Noon,Other,5.883126000000001,-162.07794773048442
1749,2010.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
1750,2010.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,31.2638905,-98.5456116
1753,2009.0,Unprovoked,Wading,F,Child,N,Evening,Other,9.26847485,-81.99322424821933
1754,2009.0,Unprovoked,Swimming,M,Senior,N,Other,Other,14.0779378,108.9898798
1755,2009.0,Provoked,Swimming,F,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
1756,2008.0,Unprovoked,Other,F,Others,N,Other,Other,-0.62881505,-90.3638752022324
1757,2008.0,Unprovoked,Fishing,M,Middle-aged Adult,N,Noon,Other,-20.1472512,164.12375677974939
1758,2008.0,Unprovoked,Wading,M,Child,N,Other,Other,27.7567667,-81.4639835
1759,2008.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
1760,2008.0,Provoked,Other,M,Others,N,Other,Other,27.7567667,-81.4639835
1761,2008.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,30.0338923,-115.1425107
1762,2007.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
1763,2007.0,Unprovoked,Surfing,M,Others,N,Morning,Tiger shark,19.593801499999998,-155.42837009716908
1764,2007.0,Unprovoked,Boogie Boarding,M,Young Adult,N,Morning,Other,-31.8759835,147.2869493
1765,2007.0,Unprovoked,Other,M,Young Adult,Y,Other,Tiger shark,-32.2171831,26.6386401
1767,2006.0,Provoked,Canoeing,M,Others,N,Other,Other,-32.2171831,26.6386401
1768,2006.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
1769,2006.0,Unprovoked,Spearfishing,M,Young Adult,N,Noon,Other,-32.2171831,26.6386401
1770,2005.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Morning,Other,-22.1646782,144.5844903
1771,2005.0,Unprovoked,Swimming,F,Child,Y,Other,Other,-16.099635499999998,167.416024
1773,2005.0,Provoked,Fishing,M,Others,N,Noon,Other,-38.00353045,175.95782102762962
1774,2004.0,Unprovoked,Surfing,F,Young Adult,N,Noon,Other,27.7567667,-81.4639835
1776,2004.0,Unprovoked,Swimming,M,Others,N,Other,Other,-31.8759835,147.2869493
1777,2003.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
1778,2003.0,Unprovoked,Wading,M,Middle-aged Adult,N,Other,Other,-30.5343665,135.6301212
1779,2002.0,Unprovoked,Standing,M,Teenager,N,Morning,Other,35.6729639,-79.0392919
1780,2002.0,Unprovoked,Other,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
1781,2001.0,Unprovoked,Body surfing,M,Young Adult,N,Other,Other,17.666667,-100.0
1782,2001.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Noon,Other,26.661393099999998,-78.26835346979033
1783,2000.0,Watercraft,Fishing,M,Others,N,Other,Other,-38.00353045,175.95782102762962
1784,1999.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,-43.586562,171.21232939964904
1785,1999.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Evening,Other,19.593801499999998,-155.42837009716908
1786,1999.0,Unprovoked,Other,M,Others,N,Other,Other,33.6874388,-80.4363743
1787,1998.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,37.1232245,-78.4927721
1788,1998.0,Unprovoked,Body boarding,M,Young Adult,N,Noon,Other,-33.546977,20.72753
1790,1997.0,Unprovoked,Standing,M,Middle-aged Adult,N,Other,Other,33.6874388,-80.4363743
1791,1996.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
1792,1996.0,Unprovoked,Swimming,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
1793,1996.0,Unprovoked,Surfing,M,Others,N,Other,Tiger shark,35.6729639,-79.0392919
1794,1995.0,Unprovoked,Scuba diving,M,Young Adult,Y,Other,Other,27.7567667,-81.4639835
1796,1995.0,Unprovoked,Body boarding,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
1797,1994.0,Unprovoked,Wading,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
1798,1994.0,Provoked,Other,M,Young Adult,N,Other,Other,36.7014631,-118.755997
1799,1994.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-8.4116316,-37.5919699
1800,1993.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,19.593801499999998,-155.42837009716908
1801,1992.0,Unprovoked,Other,M,Others,N,Other,Other,33.6013646,132.8185275
1802,1991.0,Provoked,Fishing,M,Others,N,Other,Other,27.7567667,-81.4639835
1803,1989.0,Unprovoked,Free diving,M,Young Adult,N,Noon,Other,-33.546977,20.72753
1805,1988.0,Unprovoked,Standing,F,Young Adult,N,Other,Other,27.7567667,-81.4639835
1806,1987.0,Unprovoked,Other,M,Others,Y,Other,Other,19.593801499999998,-155.42837009716908
1808,1986.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,-32.2171831,26.6386401
1809,1985.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
1810,1984.0,Unprovoked,Other,F,Teenager,N,Evening,Other,19.593801499999998,-155.42837009716908
1811,1983.0,Sea Disaster,Other,M,Others,N,Other,Other,9.85078305,122.88982965068698
1813,1982.0,Unprovoked,Surfing,M,Teenager,N,Other,4' to 5' shark,27.7567667,-81.4639835
1814,1981.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,27.7567667,-81.4639835
1815,1981.0,Unprovoked,Other,F,Young Adult,Y,Noon,Other,36.6593,126.6729
1816,1980.0,Unprovoked,Standing,F,Young Adult,N,Other,Other,38.6920451,-75.4013315
1817,1977.0,Watercraft,Other,M,Others,N,Other,Other,-33.546977,20.72753
1820,1976.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,36.7014631,-118.755997
1823,1975.0,Unprovoked,Free diving,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
1824,1975.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
1825,1972.0,Unprovoked,Swimming,M,Teenager,N,Other,Other,-38.00353045,175.95782102762962
1826,1971.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,-43.586562,171.21232939964904
1827,1970.0,Unprovoked,Other,M,Others,N,Other,Other,6.8275297,79.93129599390583
1828,1968.0,Unprovoked,Other,M,Child,N,Noon,Other,27.7567667,-81.4639835
1829,1967.0,Provoked,Other,M,Others,N,Other,Other,29.82494949952984,-95.478675434839
1830,1966.0,Unprovoked,Snorkeling,F,Teenager,N,Evening,Other,25.748800600000003,-79.25743803002536
1833,1964.0,Unprovoked,Other,M,Teenager,N,Morning,Other,-25.2303005,121.0187246
1834,1963.0,Unprovoked,Other,M,Teenager,Y,Noon,Other,-28.503833,30.8875009
1835,1963.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-19.7092,63.4425995
1837,1962.0,Unprovoked,Swimming,M,Child,Y,Other,Other,-5.0,145.5
1839,1961.0,Unprovoked,Standing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
1840,1961.0,Provoked,Fishing,M,Middle-aged Adult,N,Other,Other,-28.503833,30.8875009
1842,1960.0,Unprovoked,Swimming,M,Young Adult,Y,Noon,Other,-28.503833,30.8875009
1843,1960.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Noon,3' shark,-22.1646782,144.5844903
1846,1958.0,Unprovoked,Swimming,M,Young Adult,Y,Noon,Other,-22.1646782,144.5844903
1850,1956.0,Unprovoked,Other,M,Others,N,Other,Other,-10.0,148.0
1852,1956.0,Unprovoked,Other,M,Teenager,Y,Morning,1.8 m [6'] shark,-22.1646782,144.5844903
1854,1955.0,Unprovoked,Spearfishing,M,Teenager,N,Noon,Other,36.7014631,-118.755997
1855,1954.0,Unprovoked,Swimming,M,Young Adult,N,Other,1.5 m [5'] shark,36.7014631,-118.755997
1856,1954.0,Unprovoked,Swimming,M,Young Adult,Y,Other,Other,52.0748349,4.3152572
1859,1954.0,Unprovoked,Other,M,Others,N,Other,Other,33.7529571,-78.8171271
1860,1950.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,-25.2303005,121.0187246
1862,1948.0,Provoked,Other,M,Middle-aged Adult,N,Other,Other,25.748800600000003,-79.25743803002536
1863,1947.0,Provoked,Other,M,Others,N,Other,5' shark,25.0302511,-77.39603414176767
1864,1946.0,Unprovoked,Swimming,M,Others,N,Other,Other,-6.8160837,39.2803583
1867,1942.0,Sea Disaster,Other,M,Young Adult,Y,Other,Other,-3.84513925,-32.4063735
1871,1940.0,Unprovoked,Swimming,M,Teenager,Y,Morning,Other,-28.503833,30.8875009
1873,1937.0,Unprovoked,Other,M,Others,N,Other,Other,-31.8759835,147.2869493
1875,1936.0,Unprovoked,Swimming,M,Others,Y,Other,Other,27.7567667,-81.4639835
1876,1935.0,Unprovoked,Other,M,Teenager,Y,Other,Other,47.1873134,-1.6907295
1877,1934.0,Provoked,Fishing,M,Others,N,Other,Other,32.2942679,-64.7853167
1878,1934.0,Unprovoked,Body surfing,M,Young Adult,N,Morning,Other,-22.1646782,144.5844903
1879,1932.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-32.2171831,26.6386401
1881,1931.0,Unprovoked,Other,M,Others,N,Other,6' shark,27.7567667,-81.4639835
1882,1929.0,Watercraft,Other,M,Others,Y,Other,Other,40.34816975,115.99957627829163
1884,1927.0,Unprovoked,Pearl diving,M,Others,N,Other,Other,-22.1646782,144.5844903
1885,1926.0,Unprovoked,Other,M,Others,Y,Other,Other,-10.0,148.0
1886,1925.0,Unprovoked,Other,F,Others,N,Other,Other,18.2247706,-66.4858295
1887,1917.0,Unprovoked,Other,M,Others,N,Other,Other,55.4708026,8.424586440014792
1888,1916.0,Unprovoked,Fishing,M,Others,N,Other,Other,35.6729639,-79.0392919
1889,1916.0,Sea Disaster,Other,M,Others,Y,Other,Other,-20.35569395,-40.28820017262445
1890,1916.0,Unprovoked,Swimming,M,Others,Y,Other,Other,40.0757384,-74.4041622
1892,1913.0,Unprovoked,Other,M,Others,N,Other,Other,27.7567667,-81.4639835
1894,1912.0,Unprovoked,Swimming,M,Others,N,Other,Other,-22.27584205,166.6417946075743
1896,1910.0,Unprovoked,Other,M,Others,N,Other,Other,-25.2303005,121.0187246
1899,1907.0,Unprovoked,Wading,M,Others,N,Other,Other,40.0757384,-74.4041622
1903,1904.0,Unprovoked,Swimming,M,Young Adult,Y,Other,Other,-38.00353045,175.95782102762962
1904,1903.0,Unprovoked,Other,M,Others,Y,Other,Other,-31.8759835,147.2869493
1905,1903.0,Unprovoked,Other,M,Others,Y,Other,Bull shark,-31.8759835,147.2869493
1906,1902.0,Provoked,Fishing,M,Others,N,Other,Other,44.4777617,8.7026296
1907,1901.0,Unprovoked,Bathing,M,Child,N,Other,Other,-22.1646782,144.5844903
1908,1900.0,Unprovoked,Swimming,M,Others,Y,Other,Other,45.4225937,14.6172032
1909,1899.0,Unprovoked,Other,M,Others,N,Other,Other,-22.1646782,144.5844903
1910,1898.0,Unprovoked,Other,M,Teenager,N,Other,White shark,33.6874388,-80.4363743
1911,1896.0,Unprovoked,Other,M,Others,Y,Other,Other,27.7567667,-81.4639835
1912,1895.0,Unprovoked,Other,M,Others,Y,Other,Other,12.789585,45.028504
1914,1893.0,Unprovoked,Bathing,M,Others,Y,Other,Other,-43.586562,171.21232939964904
1916,1888.0,Unprovoked,Other,M,Others,Y,Other,Other,-32.2171831,26.6386401
1917,1887.0,Unprovoked,Other,M,Others,Y,Morning,Other,-31.8759835,147.2869493
1919,1883.0,Unprovoked,Other,M,Others,Y,Other,Other,31.2638905,-98.5456116
1920,1882.0,Unprovoked,Bathing,M,Others,N,Other,Other,-38.00353045,175.95782102762962
1922,1878.0,Unprovoked,Bathing,M,Others,N,Other,Other,-31.8759835,147.2869493
1924,1878.0,Sea Disaster,Other,M,Others,Y,Other,Other,-33.546977,20.72753
1925,1876.0,Unprovoked,Bathing,M,Others,Y,Other,Other,-36.5986096,144.6780052
1926,1876.0,Unprovoked,Pearl diving,M,Others,N,Other,Other,-25.2303005,121.0187246
1928,1874.0,Watercraft,Fishing,M,Others,N,Other,White shark,49.12119115,-56.64032459262498
1930,1865.0,Unprovoked,Other,M,Teenager,N,Morning,Other,40.7127281,-74.0060152
1932,1856.0,Unprovoked,Swimming,M,Others,Y,Other,Other,50.6710482,-1.3327111133199459
1933,1852.0,Unprovoked,Other,M,Others,Y,Other,Other,-28.503833,30.8875009
1934,1849.0,Unprovoked,Bathing,F,Others,Y,Other,Other,27.7567667,-81.4639835
1935,1846.0,Sea Disaster,Other,M,Others,Y,Other,Other,19.333333,-96.666667
1936,1839.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-17.793383050000003,177.9782252066411
1937,1830.0,Unprovoked,Other,M,Middle-aged Adult,Y,Other,Other,42.3788774,-72.032366
1938,1784.0,Unprovoked,Swimming,M,Others,Y,Night,Other,-23.3119714,-51.1972178
1940,1500.0,Unprovoked,Other,M,Others,N,Other,Other,44.9882383,37.25603863858871
1941,1972.0,Unprovoked,Standing,M,Teenager,Y,Other,Other,-27.565088199999998,-48.51768842724714
1942,1972.0,Unprovoked,Other,M,Others,Y,Other,Other,-22.1646782,144.5844903
1943,1972.0,Unprovoked,Wading,M,Others,Y,Other,Other,-28.503833,30.8875009
1944,2023.0,Unprovoked,Surfing,M,Senior,N,Morning,Tiger shark,19.593801499999998,-155.42837009716908
1945,2023.0,Unprovoked,Swimming,F,Teenager,N,Noon,Other,-8.4116316,-37.5919699
1946,2022.0,Unprovoked,Other,M,Others,N,Morning,Other,36.7014631,-118.755997
1947,2022.0,Unprovoked,Other,M,Teenager,N,Morning,Other,40.7127281,-74.0060152
1948,2022.0,Unprovoked,Other,M,Others,N,Other,Other,33.6874388,-80.4363743
1949,2022.0,Unprovoked,Snorkeling,M,Others,N,Other,Wobbegong shark,-25.2303005,121.0187246
1950,2021.0,Provoked,Fishing,M,Young Adult,N,Evening,Other,-25.2303005,121.0187246
1951,2021.0,Provoked,Other,M,Middle-aged Adult,N,Other,Other,12.9081033,102.0159145
1952,2021.0,Unprovoked,Other,M,Middle-aged Adult,Y,Other,Other,-22.3535326,-42.58707
1953,2020.0,Unprovoked,Swimming,M,Others,N,Other,White shark,36.7014631,-118.755997
1954,2019.0,Provoked,Surfing,M,Young Adult,N,Noon,4' to 5' shark,27.7567667,-81.4639835
1955,2019.0,Unprovoked,Other,M,Middle-aged Adult,N,Noon,Other,-22.1646782,144.5844903
1956,2019.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,-3.8537498,-32.41980180663255
1957,2018.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Evening,Other,27.7567667,-81.4639835
1958,2018.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,26.3918096,-77.1370018
1959,2018.0,Unprovoked,Snorkeling,M,Middle-aged Adult,Y,Noon,Tiger shark,22.9966023,120.1973841
1960,2018.0,Questionable,Surfing,M,Others,N,Morning,Other,-31.8759835,147.2869493
1961,2018.0,Invalid,Spearfishing,M,Teenager,N,Other,Other,-25.2303005,121.0187246
1962,2017.0,Unprovoked,Surfing,M,Others,N,Other,5' shark,27.7567667,-81.4639835
1963,2017.0,Watercraft,Fishing,M,Others,N,Morning,Other,36.7014631,-118.755997
1965,2017.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Noon,Other,27.7567667,-81.4639835
1966,2016.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Evening,Other,19.593801499999998,-155.42837009716908
1967,2016.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
1968,2016.0,Unprovoked,Surfing,M,Others,N,Other,Other,-36.5986096,144.6780052
1969,2016.0,Unprovoked,Spearfishing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
1970,2016.0,Unprovoked,Other,M,Middle-aged Adult,Y,Other,Other,-16.5788332,179.1930927246919
1971,2015.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
1973,2015.0,Unprovoked,Other,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
1974,2015.0,Provoked,Spearfishing,M,Senior,N,Morning,Other,36.7014631,-118.755997
1976,2015.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Other,Other,22.93765598087752,-109.92089643308385
1977,2015.0,Unprovoked,Other,M,Young Adult,N,Noon,6' shark,33.6874388,-80.4363743
1978,2015.0,Unprovoked,Paddle boarding,M,Others,N,Morning,Other,-31.8759835,147.2869493
1980,2015.0,Watercraft,Fishing,M,Others,N,Noon,Other,-31.8759835,147.2869493
1981,2014.0,Unprovoked,Body surfing,M,Others,N,Other,Other,35.6729639,-79.0392919
1982,2014.0,Unprovoked,Wading,F,Middle-aged Adult,N,Morning,Other,27.7567667,-81.4639835
1983,2013.0,Unprovoked,Swimming,M,Middle-aged Adult,Y,Noon,Other,-38.00353045,175.95782102762962
1984,2012.0,Unprovoked,Surfing,M,Senior,N,Noon,Other,19.593801499999998,-155.42837009716908
1986,2012.0,Unprovoked,Other,M,Others,N,Other,Other,27.7567667,-81.4639835
1987,2012.0,Unprovoked,Other,M,Teenager,N,Noon,4' shark,27.7567667,-81.4639835
1988,2011.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
1989,2011.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
1991,2010.0,Unprovoked,Fishing,M,Others,N,Other,Other,31.2638905,-98.5456116
1992,2010.0,Provoked,Spearfishing,M,Others,N,Other,Other,-43.586562,171.21232939964904
1993,2010.0,Unprovoked,Surfing,M,Others,N,Morning,Other,-36.5986096,144.6780052
1994,2009.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,-31.8759835,147.2869493
1995,2009.0,Unprovoked,Wading,M,Child,N,Other,6' shark,27.7567667,-81.4639835
1996,2009.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,-31.8759835,147.2869493
1997,2009.0,Unprovoked,Surf skiing,M,Middle-aged Adult,N,Morning,Other,-31.8759835,147.2869493
1998,2008.0,Watercraft,Kayaking,M,Others,N,Noon,White shark,36.7014631,-118.755997
1999,2008.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,4' shark,27.7567667,-81.4639835
2000,2008.0,Unprovoked,Swimming,F,Teenager,N,Evening,Other,35.6729639,-79.0392919
2001,2008.0,Watercraft,Kayaking,F,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
2002,2008.0,Unprovoked,Body surfing,F,Teenager,N,Evening,5' shark,33.6874388,-80.4363743
2003,2008.0,Unprovoked,Other,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
2005,2007.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,36.7014631,-118.755997
2006,2007.0,Unprovoked,Surfing,M,Others,N,Morning,Other,36.7014631,-118.755997
2007,2007.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
2009,2006.0,Unprovoked,Other,M,Young Adult,N,Morning,White shark,-33.546977,20.72753
2010,2006.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,Other,43.9792797,-120.737257
2013,2005.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,-36.5986096,144.6780052
2014,2005.0,Unprovoked,Wading,F,Teenager,N,Noon,Bull shark,35.6729639,-79.0392919
2018,2005.0,Unprovoked,Surfing,M,Others,N,Other,Other,-31.8759835,147.2869493
2019,2004.0,Unprovoked,Surfing,M,Senior,N,Other,Other,-31.8759835,147.2869493
2020,2004.0,Unprovoked,Surfing,M,Young Adult,Y,Noon,Other,-25.2303005,121.0187246
2022,2004.0,Unprovoked,Snorkeling,M,Others,Y,Other,Other,22.9966023,120.1973841
2023,2003.0,Unprovoked,Standing,F,Child,N,Other,Other,27.7567667,-81.4639835
2024,2003.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
2025,2002.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,36.7014631,-118.755997
2026,2002.0,Unprovoked,Wading,M,Middle-aged Adult,N,Noon,Other,27.7567667,-81.4639835
2027,2000.0,Unprovoked,Other,M,Middle-aged Adult,Y,Noon,Other,-16.8261493,-179.9354607
2028,2000.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,27.7567667,-81.4639835
2029,2000.0,Unprovoked,Surfing,M,Child,N,Other,Other,-43.586562,171.21232939964904
2030,1999.0,Unprovoked,Other,M,Middle-aged Adult,N,Morning,Other,-22.9110137,-43.2093727
2031,1999.0,Unprovoked,Surfing,M,Others,N,Other,Other,27.7567667,-81.4639835
2032,1999.0,Unprovoked,Surfing,M,Others,N,Other,Other,35.6729639,-79.0392919
2033,1999.0,Unprovoked,Boogie boarding,M,Teenager,Y,Morning,White shark,-33.546977,20.72753
2034,1999.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
2035,1998.0,Unprovoked,Surfing,M,Young Adult,Y,Other,Other,-8.4116316,-37.5919699
2036,1997.0,Unprovoked,Other,M,Middle-aged Adult,N,Other,White shark,-25.2303005,121.0187246
2037,1996.0,Unprovoked,Other,F,Others,N,Other,Other,-22.27584205,166.6417946075743
2038,1996.0,Unprovoked,Other,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
2039,1996.0,Unprovoked,Swimming,M,Child,N,Other,Other,-31.8759835,147.2869493
2041,1994.0,Unprovoked,Surfing,M,Others,N,Other,Other,-8.4116316,-37.5919699
2042,1994.0,Unprovoked,Other,F,Child,N,Morning,Other,19.593801499999998,-155.42837009716908
2044,1993.0,Provoked,Fishing,M,Senior,N,Noon,Other,-22.1646782,144.5844903
2046,1992.0,Unprovoked,Body boarding,M,Others,Y,Other,Other,19.593801499999998,-155.42837009716908
2048,1990.0,Unprovoked,Surfing,M,Others,N,Morning,Other,-30.5343665,135.6301212
2049,1990.0,Unprovoked,Other,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
2051,1989.0,Provoked,Other,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
2052,1989.0,Unprovoked,Other,F,Others,N,Other,Other,-3.70214725,152.43600214892317
2053,1988.0,Unprovoked,Surfing,M,Teenager,N,Other,6' shark,27.7567667,-81.4639835
2054,1988.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,-30.5343665,135.6301212
2055,1988.0,Provoked,Other,M,Others,N,Other,Other,30.8703881,-92.007126
2056,1988.0,Unprovoked,Swimming,F,Teenager,N,Morning,Other,27.7567667,-81.4639835
2057,1988.0,Unprovoked,Snorkeling,M,Others,N,Other,1.5 m [5'] shark,-20.35569395,-40.28820017262445
2058,1988.0,Unprovoked,Surfing,M,Others,N,Other,White shark,36.7014631,-118.755997
2059,1986.0,Unprovoked,Scuba diving,M,Others,N,Other,Wobbegong shark,-31.8759835,147.2869493
2060,1984.0,Unprovoked,Other,M,Teenager,Y,Noon,Other,-22.1646782,144.5844903
2062,1982.0,Unprovoked,Spearfishing,M,Young Adult,Y,Other,Other,-42.035067,146.6366887
2064,1981.0,Unprovoked,Other,M,Middle-aged Adult,N,Noon,Other,26.661393099999998,-78.26835346979033
2065,1978.0,Unprovoked,Surfing,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
2066,1978.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,-28.503833,30.8875009
2067,1977.0,Sea Disaster,Other,M,Middle-aged Adult,N,Other,Other,19.593801499999998,-155.42837009716908
2068,1977.0,Sea Disaster,Other,M,Young Adult,N,Other,Other,-22.1646782,144.5844903
2069,1976.0,Unprovoked,Spearfishing,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
2073,1970.0,Unprovoked,Scuba diving,M,Others,N,Other,Other,27.7567667,-81.4639835
2074,1970.0,Unprovoked,Wading,M,Teenager,Y,Noon,Other,18.02668395,-76.7793443782703
2075,1970.0,Unprovoked,Other,F,Young Adult,N,Other,Other,30.4952371,47.8090981
2076,1969.0,Unprovoked,Wading,M,Child,N,Evening,Other,27.7567667,-81.4639835
2077,1969.0,Provoked,Diving,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
2079,1969.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,19.593801499999998,-155.42837009716908
2080,1968.0,Watercraft,Fishing,M,Young Adult,N,Other,Other,-28.503833,30.8875009
2081,1966.0,Sea Disaster,Other,M,Middle-aged Adult,Y,Other,Other,-35.29652355,149.12957364767345
2082,1965.0,Unprovoked,Other,M,Young Adult,N,Other,Other,25.0302511,-77.39603414176767
2083,1964.0,Unprovoked,Other,M,Others,N,Other,Other,-5.994921,154.9966955
2084,1964.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
2085,1964.0,Unprovoked,Other,M,Young Adult,N,Other,Other,9.187597499999999,-77.87137226376693
2087,1964.0,Unprovoked,Other,M,Others,N,Noon,Other,-38.00353045,175.95782102762962
2088,1964.0,Unprovoked,Swimming,M,Teenager,Y,Morning,Other,-43.586562,171.21232939964904
2090,1964.0,Unprovoked,Swimming,M,Others,Y,Other,Other,9.09532795,-84.20030379242806
2094,1963.0,Unprovoked,Wading,F,Young Adult,Y,Noon,Other,-31.8759835,147.2869493
2095,1962.0,Unprovoked,Other,M,Young Adult,N,Other,Other,-31.8759835,147.2869493
2096,1962.0,Unprovoked,Swimming,M,Young Adult,N,Noon,Other,19.333333,-96.666667
2097,1962.0,Provoked,Swimming,M,Teenager,N,Other,1.8 m [6'] shark,-45.92542665,167.60684826776085
2100,1961.0,Unprovoked,Standing,F,Others,N,Evening,Other,-36.5986096,144.6780052
2101,1960.0,Unprovoked,Other,M,Others,Y,Other,Other,19.593801499999998,-155.42837009716908
2103,1960.0,Unprovoked,Fishing,M,Others,Y,Other,Other,-10.0,148.0
2104,1960.0,Unprovoked,Spearfishing,M,Others,N,Other,1.5 m [5'] shark,-36.5986096,144.6780052
2105,1959.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Noon,Other,-19.04799405,178.36293770239388
