,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
6231,2002.0,Unprovoked,Standing,M,Middle-aged Adult,N,Morning,Other,26.3918096,-77.1370018
6232,2002.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
6234,2001.0,Unprovoked,Snorkeling,F,Young Adult,N,Noon,Other,-22.1646782,144.5844903
6235,2001.0,Unprovoked,Boogie Boarding,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
6237,2001.0,Unprovoked,Swimming,M,Child,N,Other,Other,33.6874388,-80.4363743
6238,2001.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
6239,2000.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,35.6729639,-79.0392919
6240,2000.0,Unprovoked,Wading,M,Middle-aged Adult,N,Morning,1.5 m [5'] shark,27.7567667,-81.4639835
6241,2000.0,Watercraft,Other,M,Others,Y,Other,Other,-22.50522865,-55.7307551413271
6242,1999.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
6243,1998.0,Provoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
6244,1998.0,Unprovoked,Other,M,Child,N,Other,Other,27.7567667,-81.4639835
6245,1997.0,Unprovoked,Other,M,Young Adult,N,Morning,Other,27.7567667,-81.4639835
6246,1997.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,36.7014631,-118.755997
6249,1995.0,Unprovoked,Surfing,M,Teenager,N,Other,1.8 m [6'] shark,27.7567667,-81.4639835
6250,1995.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
6251,1994.0,Unprovoked,Windsurfing,M,Middle-aged Adult,N,Noon,Other,-32.2171831,26.6386401
6253,1992.0,Unprovoked,Standing,F,Teenager,N,Noon,Other,27.7567667,-81.4639835
6254,1992.0,Unprovoked,Swimming,M,Others,Y,Other,Other,-8.4116316,-37.5919699
6255,1990.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,-32.2171831,26.6386401
6256,1990.0,Unprovoked,Other,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
6257,1989.0,Unprovoked,Other,M,Child,N,Other,Other,-22.1646782,144.5844903
